urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
lamotrigine,2,Moderately Effective,Extremely Severe Side Effects,depression/anxiety,"More mellow mood. Just taking Wellbutrin alone wasn't enough. I am a mild bipolar and needed something to balance out my moods. I have both depression and anxiety. And do not sleep well. That's why I was on Ambien, too.","RASH. ALL OVER TORSO. Burning, intense pain for days! Swollen tongue; couldn't eat. Lips puffed up twice their size. My doctor prescribed a 10-day series of steroids. The first night, I had to swallow eight steroid pills. The next morning, I had to wake up and swallow another six. Then another week of lessened doses. I have been removed from all of my drugs. Not fun. WARNING about lamotrigine: there is a slim chance of getting a horrific rash. I thought it was too slim for me, considering I'm very healthy. I was totally wrong.","Fully removed from lamotrigine, as well as Wellbutrin and Ambien. Now I am on Seroquel. At least, I will be on it as soon as I am fully removed from the steroid treatment. I will never, ever take lamotrigine again. Today, nearly all of my steroid prescription is gone, and the rash has reappears. It itches like bloody murder!"
nuvigil,10,Highly Effective,No Side Effects,originally sleep apnea,Benefits were I was able to stay awake during the day. And now that I have esophageal cancer I strongly believe Nuvigil is a big help with the side effects of chemoradiation treatments.,I haven't seen any side effects yet.,"I have since been dianosed with esophageal cancer, I am in a 5 week treatment regimine with chemo and radiation and then i'll be going through surgery. I asked and was told it would be ok to keep taking the Nuvigil during all this and I am really happy that I am able to keep taking it. I really think it is helping me with some of the side effects from the chemoradiation treatments i have been getting. I'm right in the center of treatments now and I am suppose to have the lowest blood cell count now but I don't think so. I see the doctor today and get my first cbc done since I started. I think the Nuvigil is a big help while going through this and I think the doctors are seeing that too. I've been going to work everyday while getting all my treatments. And I'm sure that would not be happing without the Nuvigil."
lexapro,7,Considerably Effective,Moderate Side Effects,"anxiety, depression","Patient was in second year of law school when began taking Lexapro; anxiety lessened as did depression, however didn't improve motivation to study.","Though didn't realize it, till two years later, though was mentioned to patient that he'd gained a lot of weight, which he attributed to weight lifting at gym, he gained thirty pounds. Was a slim, 6 foot 2, 160 pounds when began taking the drug.","Was prescribed Lexapro by primary provider after patient revealed to doctor very unhappy at law school and thinking about quitting. He felt better, anger, anxiety, depression lessened. However, seem to gloss over the importance of studying and doing the reading and consequently, was behind when the exam period came and had to go on Ritalin to get through this period."
spironolactone,9,Highly Effective,Mild Side Effects,acne,I am 28 and had acne like a 16 year old the day before the prom. It was horrible and embarrassing. This was an experiment. We had no idea if it would even work. We started at 50mg twice daily and then went to the 100mg when there were no results. My face is flawless now. I am also sleeping better which I don't think is a coincidence.,"Dry skin, intolerance to alcohol, frequent urination.","I had brain surgery to remove what we thought was a pituitary tumor. We hoped this would resolve the acne. We were wrong about everything. I ended up having a very rare autoimmune disease called Hypophysitis. This is causing a whole mess of problems systemically. And when I say rare, I mean that there have only been 460 diagnosed cases since 1962. Yeah. So I have recently entered a study through Johns Hopkins. My treatment with Spironolactone will continue throughout my clinical trial and I will stay on it as long as it takes to keep the acne away for good."
minocycline,6,Moderately Effective,Moderate Side Effects,acne,The Sulfer drug helped reduce abdominal inflammation and reduced pain felt with Crohn's flare ups.,No side effects were noted.,"Sulfasalizine was taken three times daily. As I began to wean off the drug, I moderated how much I was taking in regards to the pain and inflammation I was feeling. I am currently off the drug and take no medication for Crohn's."
effexor,8,Highly Effective,Moderate Side Effects,depression and anxiety,"I noticed an improvement in my thinking within 3 days.  I began to think more positive and objective.  I also began to sleep much better, to much for quite a while.  After a couple weeks, I was not nearly as depressed and it kept getting better.","Some constipation, little to no sex drive","I was prescribed Effexor XR for depression.  I initially began on a low dose to make sure I could tolerate it.  The first day, I noticed a decrease in anxiety as it made me a bit tired.  After a few days, I could tell I was thinking more clearly and did not have that 'doomed' feeling as severe.  I began doing more things and getting involved which helped even more.  After a couple weeks, my Dr. doubled the mg. and that is the current level I am now on.  I feel very good and only have set backs when things in my life are extremely stressful."
asacol,7,Highly Effective,No Side Effects,ulcerative cholitis,I have found the product to be the only thing to work for autoimune Ulcerative Cholitis.    I was diagnosed with UC at age 43 after extensive testing.   Tried several other products and supplements to keep UC in remission but none have been effective.  The price is very expensive and is out of the reach of those without insurance cost is in the price range of $900 per months.   The company that makes the drug does offer programs for the non insured to receive at very substantial discounts or at no cost,I have had none of the reported side effects from the product.   Bowels move at regualar intervals and with regular formed stool.   There has been no swelling or any other symptoms associated with steroid use.  The only down side is the medication must be taken daily.  Miss a day or two and the bowel will become bloated and distended.  Other then that and the price no issue with medication,"I take 3 capsules once daily in a single dose.  Have done split dose method 2 times per day with no increase or decrease in product action.   Vitamins Beta Carratine, Vitamin E, Vitamin D, Alpha Lipic Acid, Coq10, Glutathione and Chromium Piccalate are also used as supplements"
retin-a,2,Marginally Effective,Mild Side Effects,acne,"Occasionally, acne would subside slightly.",Excessively dry skin and irritation,I was to apply the Retin-A cream twice a day but the side effects outweighed any effects of treatment.
nuvaring,1,Highly Effective,Extremely Severe Side Effects,birth control,"Did not get pregnant, regular periods.","Unbeleivable mood swings, 360 degree different in mood. Made me extremely irratable and angry all the time. Little things would make me exploid in anger, made my mood very negative.  This is very abnormal, I'm usually very happy and positive but people around me began to notice how negatively this affected my day to day outlook.","Insert for 3 weeks, remove for 1 week."
diclofenac,7,Considerably Effective,Mild Side Effects,illiotibital tibital syndrom,I had swelling and pain in my knee from itbs and in my ankle from tendenitis and it took down the swelling,I had gas after about 6 hours of taking it,"""one tablet twice per day with food"
imitrex,10,Highly Effective,No Side Effects,migraine,"""I had my first migraine at age 10 and suffered for almost 60 years. Then Imitrex--a miracle!  Imitrex, finally, gave me my life back. As I get older and am now retired (72) and have less stress, I use the stat dose once or never during the year. The 50mg tablet usually returns me to normal within an hour. A """"generic"""" has become available but is less Imitrex and more Naprosin, an anti-inflammatory,  which is cheaper for the manufacturer but not good long-term for the patient. My doctor is keeping me on the brand name. However, Humana has dropped Imitrex coverage, not wanting to pay the high cost, which never gets lower as the manufacturer won't release the patent.  Now I'm worried, having to pay the entire cost myself, which is impossible.  It's a horrible dilemma.  I can't pay for it and they won't.  What now?""","I have had no side effect at all, and I have been taking Imitrex since it came on the market.","""I don't know what you mean by """"details."""""""
diazepam,3,Marginally Effective,Moderate Side Effects,depression,"I found that I actually felt worse rather than better, the only benefit was that with  imovane I could sleep at night which I couldn't do earlier. I never really felt rested though. I am not sure if the combination of these 3 drugs caused my anxiety to become worse. Venlafaxine was supposed to help my depression but I found it totally ineffective. I am wondering if I get a higher dose will it help but I am afraid it might make it worse . WOuld love to go off all of these medicines as I feel the side effects are worse than the depression","No energy, increase in anxiety and depression","""Morning Venlafaxine - 225 mg"
differin,6,Marginally Effective,No Side Effects,acne,will see with time photo damage reduction.  Sun exposure ++ growing up in South Africa so fine lines and facial scar due to dog bite.  I have some medical training so am interested to see if any skin improvement,none so far,taken for mild acne but curious about photo damage reduction.  Will take for next year and see
seasonique,1,Ineffective,Extremely Severe Side Effects,birth control,"I was excited to have only 4 periods per year, but I never got that far, as I quit taking it after six days because of severe depression, crankiness, fatigue, uncontrollable hunger  water retention and weight gain.","Severe depression, crankiness, fatigue, hunger/cravings,  water retention, weight gain - 3 lbs in one week!!!  I am very active, work out - resistance training and cardio.  The hunger and the weight gain and water retention did NOT work with my lifestyle.","I wouldn't take this pill if you are susecptible to depression or anxiety, or if you are a fitness-minded person and care how you feel in your clothes.  Very expensive as well. My health insurance doesn't cover scripts, and even with a $50 coupon from my OB/GYN, I still paid $160!"
lamictal,10,Highly Effective,No Side Effects,bipolar depression,"The combination of Lamictal and Effexor eliminated severe mood swings betweens hypomania and depression, and made my depression manageable.",Possibly minor sexual side effects: more difficult to reach organism.,"""Morning: 1 capsule (150MG) Effexor XR; 1 tablet 100MG Lamictal."
accutane,8,Highly Effective,Moderate Side Effects,acne,When taking the Accutane I noticed a decrease in the amount of acne I had on my face over the course of the treatment.,"My skin peeled greatly, praticularly around my lips and ears. I did use lotion in large amounts to combat this so it wasn't too much of a problem. I also had to stay out of the sun to avoid serious burning during the use of the drug.","I took one pill per day for 6 months, at the end of which I noticed a marked decrease in my acne. I could not get pregnant during the treatment because of the high risk of birth defects. I remained on birth control throughout the treatment."
doryx,1,Ineffective,Moderate Side Effects,acne,None!,Hair loss! More Acne!,Please dont take this medicine it made my acne horrible! I only had mild acne in my chin area. After taking this medicine it made my acne worst like never before in my life. I started getting severe acne all over my face!Now I have ugly acne and scaring and before this horrible medicine I only had ugly chin acne!I feel so depressed! I dont want to live any more!
tri-luma,4,Ineffective,Mild Side Effects,hyperpigmentation all over face,it gave a little respons but once we stop applying the spots appear again so it is frustating to keep on applying.it is not a cure but just a satisfaction.,"dry skin,redness of skin, very sensitive skin.",one should apply once a day at nighttime.it will appear good in starting but once stopped will come again.it should be applied in a little amount.
bisoprolol,10,Highly Effective,No Side Effects,palpitations,Immediately controled palpitations associated with mild to moderate mitral valve regurtitation,none,one time daily
nasacort,9,Highly Effective,No Side Effects,perenniel rhinitis,eliminates stuffiness.  best when applied after one dosage of over the counter (afrin ) or similar.,when applied more than once daily i experience sneezing and running nose...,with vicodin i take it at the sign of a headache so that i do not have to take it every 4 to six house.. i never take it at night because it causes insomnia
neurontin,3,Marginally Effective,Extremely Severe Side Effects,neuropathic pain from botched surgery,To start with a numbness to the pain then my life was turned upside down.,"My side effects were at times to many to know which ones were and are creating the most distress. I don't sleep a regular sleep, moody, depressed at times,unable to make clear decisions, dowse, memory terrible, tremor's, suppressed appetite,dry mouth, swollen legs and face, I have fevers so high I wake up saturated then in an instant all my extremities can become so cold. I feel irregular heart beat. Many times felt the rage and didn't even know where it came from let alone what my potentials were, I felt as though I was going insane, suicidal thoughts at times for two reasons. I was out of control on the meds and I felt as though my children would be better off without me. I don't handles stressful situations well.","After having gallbladder removed a nerve was cut during surgery. That created the most intense pain. I trusted the medical specialists and was in so much pain I would have done anything to make it stop. They started me on 300mg gabapentin slowly increased every 2nd day until I was taking 10,000 mg per day. yes you read it correct 10,000mg. The legal dose in NZ 3,600mg. After a serious of events and specialists adding more pain meds from codeine morphine antidepressants etc things got worse. I have been trying to decrease theses meds for two years and don't feel like I have achieved much some days. to date I take 3x 300mg 4 times a day 3,600mg (done this alone).  I have been to doctors ans specialists about side effects and feel they just dismiss them yet they come under criteria of serious side effects. I'm now the too hard basket. No help or support here with DPH or any medical facility. I have my children and Friends that help as much as they can. I desperation to come off this crap I started smoking marijuana that was more beneficial to help keep decreasing and control intense pain until recently convicted for growing my own medicine. In my opinion Gabapentin is such a dangerous drug and will be the undoing of many people. Here in NZ its all care no responsibility"
prilosec,4,Moderately Effective,No Side Effects,gerd,It somewhat relieved my heartburn for a few days.,No side effects.,"Because of the high cost of my prescription Previcid, I tried Prilosec OTC.  It seemed to calm my heartburn for about 3-4 days.  Then the heartburn returned along with nasaus.  I continued Prilosec for about 10 days, but my heartburn became too intense and I reverted back to Previcid.  Previcid seems to be the only drug that completely stops the heartburn."
topamax,1,Considerably Effective,Extremely Severe Side Effects,severe headaches,they helped to reduce headaches that I had been sufferein over a period of over 2 years,"I noticed, after only a couple of weeks that my anxiety and depression had to an almost unbearable level, I looked at the tablets side effects and realised that they must be the contributing factor as my condition had remained stable for a few years, before i started taking them.  the side effects still remain, months after stopping the medication.",I took 1 x 25mg per day which built up to 4 x 25mg per day over 4 weeks
ventolin-hfa,10,Highly Effective,No Side Effects,asthma,I have had asthma for years and take albuterol.  I heard about this new inhaler from a physician at work. He stated that it was a more pure form of the drug.  At the time he stated it was expensive to get. At the same time we were finding out that albuterol was being discontinued.  The replacement had a horrible taste to it. My son who has severe asthma was even refusing to take the new inhalor. I asked my physician for it specifically at my next visit. He did not hesitate to provide me the prescription.  My insurance company doesn't pay much of anything so I worried they would not cover it and they did.  I was very happy that it worked so well with no funny taste.,none,two puffs as needed every four hours.  I have taken albuteral and it does help but this is awesome. It works within seconds and you don't get shaky
fosamax,1,Ineffective,Severe Side Effects,early onset osteoporosis,I was led to believe my bone density would improve with this drug and it would only need to be administered once a week.,"After two months, leg pain and weakness throughout body.  I was an avid camper and hiker, and I lost a considerable amount of endurance and strength in my whole body.  Leg pain woke me up several times during the night.  The leg pain was not like cramping, but more like general dull aching, only sometimes severe.  By the third month I could not lie on my side (one side was worse than the other), because the pain was so intense.  I felt it resonating from my hip joint and going down my legs. When I awoke in the morning, my usual sprint to the bathroom was replaced by tiny hobbling steps; I was extremely weak in the morning.","I elected to stop taking Fosamax because of side effects (above).  My physician is concerned and wants me to try a different osteoporosis medication, but I am afraid to take anything like that again.  I have elected to self medicate with liquid calcium citrate/magnesium formula, and other vitamin and mineral therapy."
neurontin,7,Considerably Effective,Moderate Side Effects,"nerve condition, burning in legs and aching feet",The burning in the legs are now tolerable.,"Had a severe reaction when mixing with hydocodiene. Dizziness, fatigue and difficulty focusing.",I was thrown over a fork lift at a grocery store by a student.  I have been in rehab for 2 months and had many other therapies.  I have celiac disease which was caused by the accident.  Changing my diet took away some of my joint pains and the neurontin has helped the burning in the legs. I still have pain when touched in other parts of the body.
doryx,8,Highly Effective,Mild Side Effects,acne,"Been using retin-a for 9 yrs but had to start adding doryx due to resent cystic acne around my chin area, i noticed within a few days my skin has been glowing and my pores are much smaller. Its cleared up 80% of my acne and still seeing improvement",I had headaches and nausea,Took it once a day but had to start taking it every other day due to my frequent headaches and nausea.
claritin,9,Highly Effective,No Side Effects,seasonal allergies,"After 4 to 5 days on the medication, Claritin greatly reduces itchiness, sneezing, scratchy throat associated with seasonal allergies","I experienced absolutely no adverse side effects. None whatsoever. No side effects at all. It does not take me 50 words to explain there were no side effects, but there were no side effects.","Take 1 Claritin tablet every day during allergy season. I take the dose every moring. Again, 1 pill per day each morning during allergy season"
cymbalta,9,Highly Effective,Mild Side Effects,depression,Worked very well to relieve depression and anxiety.  Left me feeling overall much calmer and more content.  Little things just wouldn't bother me anymore.  I stopped caring about things that used to upset me.,"""At first nausea, decreased appetite, dizziness, lightheadedness, and a sort of """"high"""" or """"stoned"""" feeling.  These disappeared after several weeks.  Libido also slightly decreased, though not as bad as with other anitdepressants.""",Took medication as prescribed.
aciphex,10,Highly Effective,No Side Effects,acid reflux,"stomach did not hurt any more. no more reflux in the middle of the night.I did not have to take it with any regard to food. the once a day dose mad it easy,did not have to take doses with me to work.",none noted,take 1 tab a day for 60 days.
propranolol,9,Highly Effective,Mild Side Effects,performance anxiety / social anxiety,Stopped the body's reaction to anxiety attacks,Sometimes a mild dizzyness. Side effects was not bad for me,"With propranolol the body stops reacting to the surge of adrenalin that attacks you when you get very anxious. The hands doenst shake, the legs doesnt shake, the heart doesn't pound and so on. Thus for me, it proved effective in breaking the vicious cycle where thougts start a bodily panic reaction which again fuels the thougts and so on."
lipitor,8,Considerably Effective,No Side Effects,high cholesterol,"""When I was taking the medication it did lower my cholesterol. I cannot recall my exact cholesterol levels but they were high because at 30 years old my DR prescribed Lipitor. When my Dr. resteted my cholesterol levels he was impressed. Lipitor worked wonderfully and I was out of """"dangerous"""" cholesterol levels.""",There were no side effects.,I took the pill once a day for 1 year.
premarin,10,Highly Effective,No Side Effects,post menapause symptoms,"Premarin had a postiive effect on my moods, my skin was less dry and wrinkled and my weight gain distribution around my stomach decreased. In addition, my overall weight loss increased with proper diet and exercise. Prior to increased Premarin, this was not attainable.",I did not experience any side effects. I am aware of the ricks involved and cont. with freq. check ups.,Take premarin twice a day with once a day Progresterin.
minocycline,8,Considerably Effective,Mild Side Effects,severe acne,The drug got rid of the acne but the problem reoccurred a year later,none,I had severe acne on the chest and back.  The drug got rid of the problem very quickly (within a month) but it came back worse a year later.  It was highly effective.  I should have treated my condition earlier as all of my chest and half of my back was covered with painful acne.
hyzaar,7,Considerably Effective,Moderate Side Effects,high blood pressure,reduced blood pressure and less water retention in legs and ankles,"irregular heartbeat, low pulse rate...heart flutter...","When I switched to the generic brand the side effects were moderate to severe, but after returning to the non generic Hyzaar once again, the side effects were less severe and acceptable once again.  I wore a heart monitor and took active blood pressure readings in order to determine if the generic brand enhanced the side effects.  While still not conclusive in my mind, I've elected to pay the extra dollars for the non generic brand."
hydrocodone-and-acetaminophen,9,Considerably Effective,Mild Side Effects,cervical spondylosis,"Drug offers reliable pain relief with little negative side affects. Pain in neck, left shoulder, arm and hand.  Numbness in hand and fingers. Did not experience any nausea, dizziness.","Loss of appetite, drowsiness, sleepiness.","Cervical spondylosis.  Attempted to treat conservatively with chiropractics, including stimulation therapy, traction, cold therapy and medication. Surgery required to fuse C5,6,7.  Peruneural root cyst C6.  Inoperable."
penlac,1,Ineffective,No Side Effects,toe nail fungus,"none-I'm still taking it until the bottle runs out (like 3 more months) but I'm not optimistic. My dermatologist said toe nail fungus is really hard to treat. I have it on my big toe and it's not pretty. I tried homemade remedies first-white vinegar, hydrogen peroxide and Vicks vapo rub (which didn't work either but I swear better than both of the medications) The I tried Naftin gel for 3 months and now the paint-on Penlac generic.","none-my frustration, lost money (the generic is $99/bottle)","Paint the nail lacquer onto the infected nail, one coat a day, At the end of the week, remove it with alcohol and start the process all over again. Unfortunately, it seems like my nail isn't growing, which is why I'm afraid if I remove the nail (with a podiatrist) that it may not grow back-my dermatologist agrees I should not have the nail removed; she wants me to live with it. She says that even with Lamasil and all that expense and liver damaging drug, the fungus can still come back in 2 months."
augmentin,1,Ineffective,Severe Side Effects,sinus infection,"No benefits, did not help the initial problem of the sinus infection",severe diarrhea with blood/mucus caused by c difficile infection that led to colitis. Seven months later I have IBS now and still suffer from problems caused by the medication.,stopped taking after 3 days because of the side effect
differin,10,Considerably Effective,No Side Effects,acne,"The pimples become dry. At first there was formation of new pimples, but then pimples started gradually go away; overall the skin started looking healthier and cleaner.",some bearable feeling of heat/burning,"applied the gel in the morning and at night on nose, cheeks, forehead, and chin."
tramadol,5,Considerably Effective,Mild Side Effects,lower back pain and migraine,there was no more back pain so i felt relaxed. Tramadol also cleared migraines quickly.,it seemed to effect my eating habits there was a loss of appretite. I felt to relaxed to eat and would just want to sleep,"""after breakfast i would take 2 tablets then another two after lunch and another two about an hour before bed."
clindamycin,7,Considerably Effective,Moderate Side Effects,staph infection,My staph infection on my neck and legs started to clear up pretty quickly... within the 2nd day i noticed a huge difference.,i was scared to death to take this medication after i read what other people wrote about this drug... however.. for me it was not that bad... the first 2 doses I had some headaches/dizziness... I think I was just getting used to the drug... it is pretty strong... no stomach issues until day 5 out of 7... a bit of abdominal pain..but nothing major... id rather get rid of the itchy staph infection and suffer with the minor side effects.,Taking the drug and putting on topical mupurocin.
nexium,5,Considerably Effective,Severe Side Effects,burning feeling in throat and chest,Reflux under control,"Weight gain, skin rashes and mild headache.",Taking Nexium once a day in the morning on an empty stomach. the reflux symptom mostly  gone after 2 days. taking Nexium for one week notice weight gain (3 pounds) after 2 weeks gain 6 pounds even exercise more and eat less still gain weight. Quit taken Nexium for one week lost some weight (3 pounds) but refux symptom return. Start take Nexium again one a week doesn't help much. I tried so hard to loose weight and lost a lot and now I have to deal with weight gain because of reflux treatment pills.
plavix,10,Considerably Effective,No Side Effects,r.a.,"This regimen eliminated, for the most part, the pain, stiffness, and exhaustion experienced with rheumatoid arthritis.","No side effects at all, other than returning me to an apparently more normal state of health.","Initially, stronger drugs such as cortisone were needed to control and stabilize the rheumatoid arthritis.  Once that was accomplished, the Plavix/Mobic treatment has been consistently effective for quite a few years."
adipex-p,10,Highly Effective,Extremely Severe Side Effects,weightloss,"I lost 40lbs the first time I took it in only 2 months and kept it off for 1 year. I gained 20lbs back after that. I'm taking it again now and loose back down to my normal weight, stop taking it and gain all the weight back plus some. I've done this three times now even with an extensive workout routine and very healthy eating habits.","Major mood swings, dry mouth, insomnia, facial twitching and jitters. The first time I took it I had thoughts of suicide that I had never experienced before but I was taking more than prescribed...not recomended.","Very satisfied with the results while taking the pill, considerable weightloss. I've found it difficult to keep the weight off though."
neurontin,8,Considerably Effective,No Side Effects,insomnia due to peri-menopause,"Improved sleep, reduced night sweats.  I was experiencing extremely severe insomnia as a result of hormonal fluctuations.  I was down to about 2-4 hours of sleep a night and had tried many approaches, including meditation, herbal supplements, etc.","There are no noticeable side effects, although I wake up a bit more groggy.  However, there is no hangover effect.","""I have been using Gabapentin as an off-label approach to minimize night sweats and adrenalin """"rushes"""" at night that caused sleep disturbance.  I began with 100 mgs and increased dosage to 400 mgs which was effective.  I understand from my OB/Gyn that most people can use smaller doses (100-300).  I am really grateful to have this help!"""
omnicef,2,Highly Effective,Severe Side Effects,sinusitis,Cleared sinusitis very quickly. Ended a hacking cough after about a day as well.,"Vomiting, abdominal pain, sweating profusely, bloating, nausea, fever, severe diarrhea. I was so concerned about the effects--they came at night--that I contemplated taking myself to an emergency room.","""Had a delayed reaction to medication. Really severe effects came on only after"
protonix,9,Highly Effective,Mild Side Effects,sore throat/dryness,I felt immediate relief within 24 hrs - 2 tablets,"I had a slight headache on a couple occasions, not 100% sure it's from the medication.",Instructed by Ear-Nose - Throat Specialist to take pills with water 30 to 60 minutes - before Breakfast and then same time frame before Dinner. 40mg
cozaar,9,Highly Effective,No Side Effects,blood pressure,Lower blood pressure,None,"Cozaar, an angeotensin receptor blocker, lowered my blood pressure without side effects."
proquin-xr,5,Moderately Effective,Moderate Side Effects,chest infections,"Reduces the symptoms of pseudomonas chest infection for a few weeks, especially the haemoptysis.","Condiderable nausea, bad dreams & increased sensitivity to the sun.",Take the drug for a 3 week course then wait until symtoms increase again then have another 3 week course. Usually works out at about 3 weeks on & 3 to 4 weeks off.
diovan,8,Considerably Effective,Moderate Side Effects,high blood pressure,I was able to reduce my dependence on Verapamil down to 240 mg. when I added the Diovan,"There were many!  Enough that I stopped taking the Diovan and went back to the higher dose of Verapamil...  I am over 50 and menopausal so weight gain is an issue anyway.  Diovan causes substantial increase in hunger.  Substantial.  Not just an urge to eat but hungry to the point of discomfort.  I tried eating carrots and celery, drinking lots of water and milk, but still I gained weight.  I also lost virtually ALL of my sex drive.","Diovan is not taken alone but is in addition to your regular blood pressure medication.  It is taken 1x a day, in the morning, along with your regular med.  The change in blood pressure was immediate, and within days I had to reduce my Verapamil.  But the side effects were so troubling that I quit taking it."
lexapro,7,Considerably Effective,Moderate Side Effects,depression/anxiety,"Depression lessened considerably after 6-8 weeks.  Anxiety & depression not totally eliminated, but after initial 6-8 weeks of treatment patient was better able to deal with depressive thoughts and worry.  Allows patient to live a functionally normal life.","Several side effects when initially starting treatment:  Indigestion, loss of appetite, increased anxiety, inability to orgasm, loss of desire, and insomnia. Insomnia has decreased after 4 months of treatment though patient still finds it difficult not to wake periodically during the night.  Physical sexual function has improved, though desire has not returned to it's normal level. All other side effects have passed.","""Patient has been on Lexapro in past, though weaned off (with negative side effects including tremors, electric """"zaps"""" and finally the return of the depression/anxiety).  Began treatment again Sept 07 and continues currently.  Current treatment began with 5 mg daily for 4 days then 10 mg daily after that.  Medication is taken in morning."""
nuvaring,8,Highly Effective,No Side Effects,contraception,"Required only one application per month, rather than having to take a pill everyday. Was also a lower dosage than the pill, which seems better. Because it is not ingested there was no nausea.","Lower doses can lead to a slight increase in PMS symptoms such as cramping, but these can be combated with mild pain relievers. Sometimes can be felt during intercourse.","A plastic ring which releases hormones over a period of three weeks to provide contraceptive benefits. It is inserted into the vagina after your period, left for three weeks and then removed to allow for the next period."
ambien,10,Highly Effective,Mild Side Effects,insomnia,Fell asleep within 20 mins of taking the drug; sound sleep all night long; no hangover effect the next day.,"Very rarely, will have very mild visual hallucination if I am awoken within the first 45 min to one hour of falling asleep.","""I've taken Ambien 4-5 nights a week for the last year or so, to help with falling asleep.  Despite being tired at night when I go to bed, I find that I can't """"shut my mind off"""" and need a little help to actually get the rest I need.  Ambien helps me get a really good night's sleep, but doesn't leave me with a hung-over feeling that other meds do.  I usually only take 1/2 of the 10 mg tablet, and that's enough to help me drop right off."""
prinivil,10,Highly Effective,No Side Effects,high blood pressure,blood pressure in check just have to visit the doctor once a year blood pressure now is 80/130,I am a little more tired during the day. i know one of the side effects is fatigue.But it does not interfere with my everyday life,I take 1 pill daily at night. I don't have any nausea or sleeplessness because of it. I tried to bring my blood pressure down with diet and exercise.It is supposedly hereditary. I am 50 and in good shape.
doxycycline,9,Highly Effective,No Side Effects,gonorrhea,"My name is Nick Gikas- I considered myself a bit of a playboy until I caught a dose off a 54 year old pre-op tranny hooker-$250 NOT well spent. However, after seeing my local friendly doc and spending considerable time in hospital, this stuff cleared up Mr Tiny in no time. However, my arse is still in tatters and I've had to downscale from marrows to cucumbers in my spare time.",Boyfriend not happy,After being on drip for considerable time now crush tabs and rub them directly into helm
zomig,8,Considerably Effective,Moderate Side Effects,cluster headache,Moderate relief from headache. Sometimes complete relief from the headache where I can continue on without a headache for several hours.,"Sometimes heavy breathing, palpitations, feeling of a rush of heat in the body.",I take 1 2.5mg orodispersible tablet. After 30 minutes to 1 hour the headache starts to subside. Sometimes I need to sleep after taking the tablet for the headache to completely subside.
diclofenac,7,Considerably Effective,Mild Side Effects,illiotibital tibital syndrom,I had swelling and pain in my knee from itbs and in my ankle from tendenitis and it took down the swelling,I had gas after about 6 hours of taking it,"""one tablet twice per day with food"
byetta,8,Considerably Effective,Mild Side Effects,diabetes type ii,"Byetta will raise insulin production in the presence of increased blood glucose only, and do so gradually. It reduced my post prandial readings substantially, and also (when taken at least 30-60 minutes before meals) slowed gastric emptying, allowing me to feel full quicker and eat less.",Mild nausea for the first couple of weeks within 20 minutes of injection. Faintness and cramps if food is not consumed within 60 minutes of injection. Overeating will tend to produce sluggishness due to the corresponding large insulin release.,"Byetta is a subcutaneous injectable of 5 or 10 mcg exenatide, and artificial hormone derived from Gila monster saliva (!) It allows one to mimic some of the advantages of Gila monster digestion, like a steady rise in insulin production that matches increases in blood glucose, and delayed gastric emptying. One takes the drug 15-60 minutes before breakfast and again before dinner. Injectable is in the form of a pen with disposable screw on needles that lasts for four weeks."
xanax,10,Highly Effective,No Side Effects,tension and anxiety,Xanax is extremely effective and works very quickly.I have also noticed that some days I might not need it at all.I neither smoke nor drink alcohol so do not consider myself an addictive personality.Just need some extra coping skills for highly stressful emotional domestic situations,None,"""Prescribed by a Psychiatrist.He advised me to take continuously for the first two weeks to break down cycle of anxiety and then gradually decrease dose and use on as needed basis.This works well"
benzaclin,8,Considerably Effective,Moderate Side Effects,acne,reduced time to heal after an acne outbreak,dry peeling skin,"applied twice daily but then had to cut down on the frequency as it resulted in very dry, peeling skin, and irritabble to touch. The pimples definitely went away faster, by matter of about 3-5 days, but it also left a diffuse discolored area behind."
seroquel,8,Considerably Effective,Moderate Side Effects,anxiety/mild ptsd,Stopped the constant racing thoughts at night.  Finally could get some decent sleep.  Before I'd lay in bed for hours on end thinking and thinking over and over until I was nuts.  Now am able to sleep an entire night through with less paranoia to boot...,"grogginess in the AM, definitely.  Have to take some kind of caffeine pill to get going otherwise, I am a zombie.  I have a job where I have to be 100% focused all day, and it's difficult getting out of the morning fog sometimes.","I know there are issues with weight gain.  Because of the sedative effects, this makes natural sense.  I would advise people to try to incorporate as much exercise in their daily lives as possible to combat the weight gain.  Also, if you typically take the drug at night, as I do, try not to eat at least 3 hours before bedtime.  This is hard, but I have learned it is a small sacrifice so I feel more mentally stable."
biaxin,10,Highly Effective,Mild Side Effects,sinus infection with smelly nasal discharge,It effectively treated my maxillary sinus infection.  No more smelly nasal discharge and I could see the result within the first day of taking this drug.,No major side effects I could tell except a constant mild headache that did not really bother much.,I have had a maxillary sinus infection after a flu for 3 weeks and it would not go away.  The nasal discharge had a very unpleasant smell and taste.  My doctor first prescribed Cefuroxime 250mg and I took that for 10 days with no results.  I then went to my dentist to have my teeth checked to see if they might have been the cause.  The dentist found nothing but prescribed Biaxin 500mg for me to take for the infection.  The smelly nasal discharge decreased substantially after the first day of taking this antibiotic!  I continued to take this for 7  days and the sinus infection is gone and no more smelly mucus coming out of my nose.
